Player,Matches,Inns,Runs,HS,Avg,SR,100,50,4,6,Country
Rohit Sharma,159,151,4231,121*,32.05,140.89,5,32,383,205,India
Babar Azam,128,121,4223,122,39.83,129.33,3,36,447,73,Pakistan
Virat Kohli,125,117,4188,122*,48.66,137.04,1,38,369,124,India
PR Stirling,150,147,3656,115*,26.88,134.7,1,24,425,129,Ireland
JC Buttler,134,123,3535,101*,35.35,146.61,1,26,322,152,England
MJ Guptil,122,118,3531,105,31.81,135.71,2,20,309,173,New Zealand
Mohammad Rizwan,106,93,3414,104*,47.41,125.37,1,30,285,95,Pakistan
David Warner,110,110,3277,100*,33.43,142.47,1,28,337,122,Australia
AJ Finch,103,103,3120,172,34.28,142.53,2,19,309,125,Australia
GJ Maxwell,116,106,2664,145*,29.93,154.97,5,11,224,137,Australia
SA Yadav,83,79,2598,117,38.2,167.07,4,21,237,146,India
DA Miller,130,114,2591,106*,33.21,140.66,2,8,168,130,South Africa
Q de Kock,92,91,2584,100,31.51,138.32,1,16,264,103,South Africa
KS Williamson,93,90,2575,95,33.44,123.08,0,18,245,58,New Zealand
Shakib Al Hasan,129,127,2551,84,23.19,121.05,0,13,258,53,Bangladesh
Muhammad Waseem,69,69,2515,112,39.29,155.53,3,20,194,158,UAE
Mohammad Hafeez,119,108,2514,99*,26.46,136.17,0,14,251,76,Pakistan
EJG Morgan,115,107,2458,91,28.58,136.17,0,14,186,120,England
Mahmudullah ,141,130,2444,64*,23.5,117.38,0,8,184,77,Bangladesh
Virandeep Singh,84,82,2441,116*,36.89,126.01,1,16,203,104,Malaysia
Shoaib Malik,124,111,2435,75,31.21,125.64,0,9,196,69,Pakistan
Sikandar Raza,105,100,2403,133*,25.38,136.07,1,14,180,117,Zimbabwe 
A Balbirnie,110,106,2392,83,23.45,123.23,0,12,254,68,Ireland
Syed Aziz,90,88,2283,126,31.26,143.67,1,17,215,112,Malaysia
N Pooran,106,97,2275,98,26.14,136.39,0,13,152,149,West Indies
RR Hendricks,78,77,2271,117,30.28,131.72,1,17,250,63,South Africa
KL Rahul,72,68,2265,110*,37.75,139.12,2,22,191,99,India
Mohammad Nabi,132,124,2237,89,22.59,136.23,0,6,156,109,Afganistan
RD Berrington,97,88,2230,100,31.4,131.48,1,10,189,76,Scotland
BB McCullum,71,70,2140,123,35.66,136.21,2,13,199,91,New Zealand
HG Munsey,74,72,2078,132,31.21,144.2,2,11,233,93,Scotland
AD Hales,75,75,2074,116*,30.95,138.35,1,12,225,70,England
MDKJ Perera,77,76,2056,101*,28.16,134.11,1,15,199,65,Sri Lanka
Mohammad Shahzad,73,73,2048,118*,29.25,132.12,1,12,229,76,Afganistan
MP O’Dowd,77,75,2034,133*,29.05,120.56,1,14,209,49,Netherland
Litton Das,95,93,2020,83,22.44,124.76,0,11,210,58,Bangladesh
KJ O’Brien,110,103,1973,124,21.21,130.92,1,5,165,82,Ireland
JP Duminy ,81,75,1934,96*,36.86,126.24,0,11,138,71,South Africa
GD Phillips,83,74,1929,108,31.11,140.59,2,10,138,91,New Zealand
BKG Mendis,78,78,1920,86,25.6,131.68,0,15,165,82,Sri Lanka
LRPL Taylor,102,94,1909,63,26.15,122.23,0,7,121,71,New Zealand
CH Gayle,79,75,1899,117,27.29,137.85,2,14,158,124,West Indies
DJ Malan,62,60,1892,103*,36.38,132.49,1,16,194,62,England
TM Dilshan,80,79,1889,104*,28.19,120.54,1,13,223,33,Sri Lanka
Fakhar Zaman,92,84,1848,91,22.81,132.94,0,11,172,76,Pakistan
Najibullah Zadran,107,95,1830,73,29.15,137.8,0,8,126,97,Afganistan
Hardik Pandya,114,90,1812,71*,27.87,141.67,0,5,135,95,India
Sikhar Dhawan,68,66,1759,92,27.92,126.32,0,11,191,50,India
Tamim Iqbal,78,78,1758,103*,24.08,116.96,1,7,188,45,Bangladesh
R Powell,91,79,1747,107,25.69,140.42,1,8,99,117,West Indies
C Munro,65,62,1724,109*,31.34,156.44,3,11,132,107,New Zealand
Rahmanullah Gurbaz,66,66,1683,100,25.5,134.42,1,10,128,95,Afganistan
AB de Villiers,78,75,1672,79*,26.12,135.16,0,10,140,60,South Africa
JM Bairstow,80,72,1671,90,29.83,137.53,0,10,148,76,England
MS Dhoni,98,85,1617,56,37.6,126.13,0,2,116,52,India
SK Raina,78,66,1605,101,29.18,134.87,1,5,145,58,India
KA Pollard,101,83,1569,75*,25.3,135.14,0,6,94,99,West Indies
F du Plessis,50,50,1528,119,35.53,134.38,1,10,140,68,South Africa
K Bhurtel,53,52,1298,104*,28.21,128.61,1,9,124,56,Nepal
DJ Bravo,91,74,1255,66*,22.01,115.03,0,4,73,55,West Indies
